Year,Quarter,Tier 1 Clients,Tier 2 Clients,Tier 3 Clients,Enterprise Clients,Total Clients,MRR (R),Implementation Fees (R),Additional Services (R),Total Quarterly Revenue (R),Annual Revenue (R)
1,Q1,1,1,0,0,2,14000,100000,10000,152000,
1,Q2,3,2,0,0,5,33500,150000,20000,351000,
1,Q3,4,4,0,0,8,56000,210000,30000,678000,
1,Q4,6,6,1,0,13,96000,275000,40000,1163000,
1,Year Total,,,,,14,,,100000,2344000,1433500
,,,,,,,,,,
2,Q1,8,9,2,0,19,142000,150000,50000,976000,
2,Q2,10,11,3,0,24,189500,180000,60000,1349500,
2,Q3,12,13,4,1,30,254500,220000,70000,1534500,
2,Q4,14,15,5,1,35,304000,250000,80000,2164000,
2,Year Total,,,,,28,,,800000,6024000,3264000
,,,,,,,,,,
3,Q1,16,18,6,2,42,382000,200000,90000,2236000,
3,Q2,18,21,7,2,48,432000,220000,100000,2596000,
3,Q3,20,23,8,3,54,502000,250000,110000,3016000,
3,Q4,22,25,9,3,59,552000,280000,120000,3376000,
3,Year Total,,,,,48,,,950000,11224000,5616000
,,,,,,,,,,
4,Q1,25,29,11,4,69,646000,280000,130000,3916000,
4,Q2,28,32,13,5,78,738000,320000,140000,4618000,
4,Q3,30,35,14,6,85,816000,350000,150000,5166000,
4,Q4,32,37,15,6,90,882000,380000,160000,5782000,
4,Year Total,,,,,72,,,1330000,19482000,8424000
,,,,,,,,,,
5,Q1,35,40,17,7,99,966000,400000,170000,6376000,
5,Q2,37,42,18,8,105,1032000,420000,180000,6852000,
5,Q3,39,44,19,8,110,1092000,450000,190000,7332000,
5,Q4,40,45,20,9,114,1146000,480000,200000,7926000,
5,Year Total,,,,,100,,,1750000,28486000,11700000
,,,,,,,,,,
5-Year Totals,,,,,257,,,4930000,67560000,30437500

Notes:
- Tier 1: R 5500/month (1-50 guards)
- Tier 2: R 8500/month (51-100 guards)
- Tier 3: R 12000/month (101-200 guards)
- Enterprise: R 15000/month (200+ guards)
- Implementation fees average R 50-75k per client
- Additional services include custom reports training and support
- MRR = Monthly Recurring Revenue
- Assumes 5% annual churn rate
